,time,queue_len,wait
2675,133.75,55,897.5500000000004
2676,133.8,55,900.2999999999997
2677,133.85,55,903.0500000000004
2678,133.9,55,905.7999999999998
2679,133.95,55,908.5499999999997
2680,134.0,55,911.3000000000004
2681,134.05,55,914.0499999999997
2682,134.1,55,916.8000000000004
2683,134.15,56,919.5499999999998
2684,134.2,56,922.3499999999997
2685,134.25,57,925.2000000000004
2686,134.3,57,928.0499999999997
2687,134.35,57,930.9000000000004
2688,134.4,57,933.7499999999999
2689,134.45,57,936.5999999999997
2690,134.5,57,939.4500000000005
2691,134.55,57,942.2999999999996
2692,134.6,57,945.1500000000004
2693,134.65,57,947.9999999999998
2694,134.7,58,950.8999999999996
2695,134.75,58,953.8000000000004
2696,134.8,58,956.6999999999997
2697,134.85,58,959.6000000000005
2698,134.9,58,962.4999999999998
2699,134.95,58,965.3999999999997
2700,135.0,58,968.3000000000004
2701,135.05,58,971.1999999999997
2702,135.1,58,974.1000000000005
2703,135.15,58,976.9999999999998
2704,135.2,58,979.8999999999997
2705,135.25,58,982.8000000000004
2706,135.3,58,985.6999999999997
2707,135.35,58,988.6000000000005
2708,135.4,58,991.4999999999998
2709,135.45,58,994.3999999999996
2710,135.5,58,997.3000000000004
2711,135.55,59,1000.2499999999997
2712,135.6,59,1003.2000000000005
2713,135.65,59,1006.1499999999999
2714,135.7,59,1009.0999999999997
2715,135.75,59,1012.0500000000004
2716,135.8,59,1014.9999999999997
2717,135.85,59,1017.9500000000005
2718,135.9,59,1020.8999999999999
2719,135.95,59,1023.8499999999997
2720,136.0,59,1026.8000000000004
2721,136.05,61,1029.7999999999997
2722,136.1,60,1032.8000000000002
2723,136.15,60,1035.8
2724,136.2,60,1038.7999999999997
2725,136.25,60,1041.8000000000002
2726,136.3,60,1044.7999999999997
2727,136.35,60,1047.8000000000002
2728,136.4,60,1050.8000000000002
2729,136.45,60,1053.7999999999997
2730,136.5,60,1056.8000000000002
2731,136.55,60,1059.8
2732,136.6,60,1062.8000000000002
2733,136.65,60,1065.8000000000002
2734,136.7,60,1068.7999999999997
2735,136.75,61,1071.8
2736,136.8,60,1074.8
2737,136.85,61,1077.8500000000001
2738,136.9,61,1080.9
2739,136.95,61,1083.9499999999998
2740,137.0,61,1087.0
2741,137.05,61,1090.05
2742,137.1,61,1093.1000000000001
2743,137.15,61,1096.15
2744,137.2,61,1099.1999999999998
2745,137.25,61,1102.25
2746,137.3,61,1105.3
2747,137.35,61,1108.3500000000001
2748,137.4,61,1111.3999999999999
2749,137.45,61,1114.4499999999996
2750,137.5,61,1117.5
2751,137.55,61,1120.55
2752,137.6,61,1123.6000000000001
2753,137.65,61,1126.6499999999999
2754,137.7,61,1129.6999999999996
2755,137.75,61,1132.75
2756,137.8,61,1135.8
2757,137.85,61,1138.8500000000001
2758,137.9,61,1141.8999999999999
2759,137.95,61,1144.9499999999998
2760,138.0,61,1148.0
2761,138.05,62,1151.05
2762,138.1,61,1154.1000000000001
2763,138.15,62,1157.1999999999998
2764,138.2,62,1160.3
2765,138.25,62,1163.4
2766,138.3,62,1166.5000000000002
2767,138.35,62,1169.6000000000001
2768,138.4,62,1172.6999999999998
2769,138.45,63,1175.85
2770,138.5,63,1179.0
2771,138.55,63,1182.15
2772,138.6,63,1185.3
2773,138.65,63,1188.4499999999998
2774,138.7,64,1191.6
2775,138.75,63,1194.75
2776,138.8,63,1197.9
2777,138.85,63,1201.05
2778,138.9,63,1204.1999999999998
2779,138.95,63,1207.35
2780,139.0,63,1210.5
2781,139.05,63,1213.65
2782,139.1,63,1216.8000000000002
2783,139.15,63,1219.9499999999998
2784,139.2,63,1223.1
2785,139.25,63,1226.25
2786,139.3,63,1229.4
2787,139.35,63,1232.55
2788,139.4,65,1235.75
2789,139.45,64,1238.9499999999998
2790,139.5,64,1242.15
2791,139.55,64,1245.3500000000004
2792,139.6,64,1248.55
2793,139.65,64,1251.75
2794,139.7,64,1254.9499999999998
2795,139.75,64,1258.15
2796,139.8,64,1261.3500000000004
2797,139.85,64,1264.55
2798,139.9,64,1267.75
2799,139.95,64,1270.9499999999998
2800,140.0,64,1274.15
2801,140.05,64,1277.3500000000004
2802,140.1,64,1280.55
2803,140.15,64,1283.75
2804,140.2,64,1286.9499999999998
2805,140.25,64,1290.15
2806,140.3,64,1293.3500000000004
2807,140.35,64,1296.55
2808,140.4,65,1299.7999999999997
2809,140.45,65,1303.05
2810,140.5,65,1306.3
2811,140.55,65,1309.5500000000004
2812,140.6,65,1312.8
2813,140.65,65,1316.0499999999997
2814,140.7,66,1319.35
2815,140.75,66,1322.6499999999999
2816,140.8,66,1325.9500000000003
2817,140.85,66,1329.25
2818,140.9,66,1332.5499999999995
2819,140.95,66,1335.8500000000001
2820,141.0,66,1339.1499999999999
2821,141.05,67,1342.4500000000005
2822,141.1,66,1345.75
2823,141.15,66,1349.0499999999995
2824,141.2,66,1352.3500000000001
2825,141.25,66,1355.6499999999999
2826,141.3,66,1358.9500000000005
2827,141.35,67,1362.25
2828,141.4,66,1365.5499999999995
2829,141.45,66,1368.8500000000001
2830,141.5,66,1372.1499999999999
2831,141.55,66,1375.4500000000005
2832,141.6,66,1378.75
2833,141.65,66,1382.0499999999995
2834,141.7,66,1385.3500000000001
2835,141.75,66,1388.6499999999999
2836,141.8,66,1391.9500000000005
2837,141.85,66,1395.25
2838,141.9,67,1398.5999999999997
2839,141.95,67,1401.9499999999998
2840,142.0,68,1405.2999999999997
2841,142.05,67,1408.6500000000005
2842,142.1,67,1412.0
2843,142.15,67,1415.3499999999997
2844,142.2,67,1418.7
2845,142.25,67,1422.0499999999997
2846,142.3,67,1425.4000000000005
2847,142.35,67,1428.75
2848,142.4,67,1432.1
2849,142.45,67,1435.45
2850,142.5,67,1438.7999999999997
2851,142.55,67,1442.1500000000005
2852,142.6,67,1445.5
2853,142.65,67,1448.85
2854,142.7,67,1452.1999999999998
2855,142.75,67,1455.5499999999997
2856,142.8,67,1458.9000000000005
2857,142.85,67,1462.25
2858,142.9,67,1465.6
2859,142.95,67,1468.9499999999998
2860,143.0,67,1472.2999999999997
2861,143.05,67,1475.6500000000005
2862,143.1,67,1479.0
2863,143.15,67,1482.35
2864,143.2,68,1485.75
2865,143.25,68,1489.1499999999996
2866,143.3,68,1492.5500000000004
2867,143.35,68,1495.95
2868,143.4,68,1499.35
2869,143.45,68,1502.75
2870,143.5,68,1506.1499999999996
2871,143.55,68,1509.5500000000004
2872,143.6,68,1512.95
2873,143.65,69,1516.35
2874,143.7,68,1519.7499999999998
2875,143.75,68,1523.1499999999996
2876,143.8,68,1526.5500000000004
2877,143.85,68,1529.95
2878,143.9,67,1503.55
2879,143.95,68,1506.8999999999999
2880,144.0,67,1510.2499999999998
2881,144.05,67,1513.6000000000004
2882,144.1,67,1516.95
2883,144.15,66,1493.85
2884,144.2,66,1497.1499999999999
2885,144.25,66,1500.4499999999998
2886,144.3,66,1503.7500000000005
2887,144.35,66,1507.0500000000002
2888,144.4,66,1510.35
2889,144.45,66,1513.6499999999999
2890,144.5,65,1492.0999999999997
2891,144.55,65,1495.3500000000006
2892,144.6,65,1498.6000000000001
2893,144.65,65,1501.85
2894,144.7,65,1505.1
2895,144.75,65,1508.35
2896,144.8,65,1511.6000000000006
2897,144.85,65,1514.8500000000001
2898,144.9,65,1518.1
2899,144.95,65,1497.85
2900,145.0,65,1501.1
2901,145.05,63,1410.0000000000005
2902,145.1,63,1413.1499999999999
2903,145.15,65,1416.3999999999996
2904,145.2,65,1419.65
2905,145.25,65,1422.8999999999999
2906,145.3,63,1337.8500000000004
2907,145.35,63,1340.9999999999998
2908,145.4,62,1321.6999999999998
2909,145.45,62,1324.8
2910,145.5,62,1327.9
2911,145.55,62,1331.0000000000002
2912,145.6,62,1334.1
2913,145.65,60,1251.8499999999997
2914,145.7,60,1254.85
2915,145.75,60,1257.8500000000001
2916,145.8,60,1260.8500000000001
2917,145.85,60,1263.85
2918,145.9,59,1245.4499999999998
2919,145.95,59,1248.3999999999999
2920,146.0,59,1251.3500000000001
2921,146.05,59,1254.3000000000002
2922,146.1,57,1174.25
2923,146.15,57,1177.1
2924,146.2,57,1179.9499999999998
2925,146.25,58,1182.8500000000001
2926,146.3,59,1185.7500000000002
2927,146.35,58,1188.65
2928,146.4,58,1191.55
2929,146.45,58,1194.4499999999998
2930,146.5,57,1176.85
2931,146.55,55,1098.8
2932,146.6,56,1101.55
2933,146.65,55,1104.3
2934,146.7,55,1107.05
2935,146.75,55,1109.8000000000002
2936,146.8,55,1112.55
2937,146.85,55,1115.3
2938,146.9,55,1118.05
2939,146.95,56,1120.85
2940,147.0,56,1123.65
2941,147.05,56,1088.8
2942,147.1,54,1050.4499999999998
2943,147.15,54,1053.1499999999999
2944,147.2,53,1036.05
2945,147.25,53,1038.7000000000005
2946,147.3,53,1041.35
2947,147.35,53,1044.0
2948,147.4,53,1046.6499999999999
2949,147.45,53,1049.3
2950,147.5,53,1051.9500000000005
2951,147.55,54,1054.6499999999999
2952,147.6,53,1016.9000000000001
2953,147.65,52,983.2499999999999
2954,147.7,52,985.8499999999998
2955,147.75,52,988.4500000000004
2956,147.8,52,991.0499999999997
2957,147.85,52,993.6500000000001
2958,147.9,51,977.1499999999999
2959,147.95,51,979.6999999999998
2960,148.0,51,982.2500000000003
2961,148.05,51,984.7999999999997
2962,148.1,51,987.3500000000001
2963,148.15,51,989.8999999999999
2964,148.2,50,952.6499999999997
2965,148.25,50,955.1500000000004
2966,148.3,49,923.1499999999997
2967,148.35,49,925.6000000000003
2968,148.4,49,928.0499999999998
2969,148.45,49,930.4999999999998
2970,148.5,49,932.9500000000004
2971,148.55,49,935.3999999999997
2972,148.6,49,937.8500000000003
2973,148.65,48,921.7999999999998
2974,148.7,49,924.2499999999998
2975,148.75,48,887.4500000000003
2976,148.8,48,889.8499999999998
2977,148.85,48,892.2500000000001
2978,148.9,49,894.65
2979,148.95,47,864.2499999999999
2980,149.0,47,866.6000000000004
2981,149.05,47,868.9499999999998
2982,149.1,47,871.3000000000001
2983,149.15,47,873.65
2984,149.2,48,875.9999999999998
2985,149.25,47,878.3500000000004
2986,149.3,47,880.6999999999998
2987,149.35,46,844.4000000000001
2988,149.4,46,846.6999999999999
2989,149.45,46,831.1499999999999
2990,149.5,46,833.4500000000003
2991,149.55,46,835.7499999999998
2992,149.6,46,838.0500000000002
2993,149.65,46,810.0999999999999
2994,149.7,45,812.3499999999999
2995,149.75,45,814.6000000000003
2996,149.8,45,816.8499999999998
2997,149.85,45,819.1000000000001
2998,149.9,45,821.3499999999999
2999,149.95,44,785.45
3000,150.0,44,787.6500000000003
3001,150.05,44,789.8499999999998
3002,150.1,44,792.0500000000001
3003,150.15,44,794.2499999999999
3004,150.2,44,796.45
3005,150.25,44,798.6500000000003
3006,150.3,44,783.4499999999997
3007,150.35,44,785.6500000000001
3008,150.4,43,760.55
3009,150.45,44,762.7500000000001
3010,150.5,44,764.9500000000003
3011,150.55,43,729.4999999999998
3012,150.6,43,731.6500000000001
3013,150.65,43,733.7999999999998
3014,150.7,43,735.95
3015,150.75,43,738.1000000000003
3016,150.8,43,740.2499999999998
3017,150.85,43,742.4000000000001
3018,150.9,43,744.5499999999998
3019,150.95,43,746.7
3020,151.0,43,748.8500000000003
3021,151.05,43,750.9999999999998
3022,151.1,43,753.1500000000001
3023,151.15,42,738.2999999999998
3024,151.2,40,679.8000000000002
3025,151.25,40,681.8000000000002
3026,151.3,40,683.7999999999997
3027,151.35,40,685.7999999999998
3028,151.4,40,687.8
3029,151.45,40,689.8000000000002
3030,151.5,40,691.8000000000002
3031,151.55,40,693.7999999999997
3032,151.6,40,695.8
3033,151.65,42,697.9
3034,151.7,42,700.0000000000002
3035,151.75,42,702.1000000000001
3036,151.8,42,704.1999999999997
3037,151.85,43,669.5999999999999
3038,151.9,42,671.7
3039,151.95,40,635.5000000000001
3040,152.0,40,637.5000000000002
3041,152.05,40,639.4999999999998
3042,152.1,40,641.4999999999999
3043,152.15,40,643.5
3044,152.2,41,645.5500000000002
3045,152.25,41,647.6000000000003
3046,152.3,41,649.6499999999997
3047,152.35,41,651.6999999999998
3048,152.4,41,653.75
3049,152.45,41,655.8000000000002
3050,152.5,40,621.5000000000001
3051,152.55,40,623.4999999999999
3052,152.6,40,625.4999999999999
3053,152.65,40,627.5
3054,152.7,40,629.5000000000001
3055,152.75,39,611.1500000000002
3056,152.8,39,613.0999999999998
3057,152.85,38,599.0
3058,152.9,38,600.9
3059,152.95,38,602.8000000000002
3060,153.0,38,599.2500000000002
3061,153.05,39,601.1999999999998
3062,153.1,39,603.15
3063,153.15,39,605.0999999999999
3064,153.2,38,571.1500000000001
3065,153.25,37,572.8000000000002
3066,153.3,37,574.6499999999997
3067,153.35,37,576.4999999999999
3068,153.4,37,578.35
3069,153.45,37,580.2000000000002
3070,153.5,36,578.9500000000002
3071,153.55,36,561.8999999999999
3072,153.6,36,563.6999999999999
3073,153.65,36,565.5
